created_at,text,favourites_count,retweet_count,sentiment,polarity
0.36666666666666664,interesting read four point strategy beyond covid19 lockdown suggestive yet detailed measures needs developed will require sustained empathetic communication governments businesses community leaders,841,0,positive,0.3333333333333333
0.5166666666666667,china sneezed world freezed covid 19 chinesevirus coronafighters,664,0,neutral,0.0
0.55,poor india starving public troubled epidemic covid19 coronavirus indian media sees issue abp news puts father forefront,5134,1,negative,-0.3
0.6666666666666666,stuck home safe home sitting lucknow remembering beautiful sunrise himanchalpradesh traveldiaries 2019travel newday newhope newpossibility stayhomestaysafe,230,0,positive,0.675
0.8333333333333334,wish contribute little amount lovable pm s pm cares kindly suggest procedure indiafightscorona india covid19,5,0,positive,0.30416666666666664
0.8833333333333333,u s death toll coronavirus surged past 27 000 global case topped 2 million plz stayhome covid 19 stayathome,523,0,negative,-0.125
1.0,hyderabad idea ensure migrantworkers left hungry moreover individual s battle fight together taking care says apoorva rao covid 19,8779,1,neutral,0.0
1.0166666666666666,good morning everyone stayhomestaysafe,165,0,positive,0.7
1.0833333333333333,one day less arrival good time sunrise sunrisephotography panchkula chandigarh himalayas himachalmountains beautifulmorning morning lockdown2020 lockdown qurantinelife covi d19,1160,0,positive,0.26666666666666666
1.1166666666666667,view kerala going show world defeat covid19 remarkable reminds taiwan karnataka better next kerala,551,1,positive,0.4166666666666667
1.15,dowfutures sgxnifty covid 19 worldwide corona cases crossed 2080000 deaths crossed 129600 huge jump tomorrow dow closed 450 dow future showing 160 points loss sgx nifty 120 points may go careful sell rise thought earlier,63,0,positive,0.04000000000000001
1.1666666666666667,s safe public health ll provide weekend sats every month end year beginning aug includes new test sept amp previously scheduled tests august 29 oct 3 nov 7 amp dec 5 sat coronavirus covid19 highered,995,0,positive,0.11742424242424243
1.2166666666666668,according forbes india 15 th risky country global pandemic according report pakistan much safer india consequences hardwork prime minister covid 19 covid covidindia,2411,0,positive,0.1
1.25,study bat coronaviruses related covid19,343,0,neutral,0.0
1.2833333333333332,karnataka one look managed improve numbers one affected states covid 19,319,1,neutral,0.0
1.45,356 51 17 progress definitely better 356 325 cases related markaz one understand fact whole steps starting show impact soon say covid covid 19,319,0,positive,0.175
1.5166666666666666,every medic doctor nurse public health staff police volunteer across india appreciate best people bring benefit rest mankind prophet muhammad stayhome stayhomesavelives covid19 coronavirus,168181,7,positive,0.5
1.5166666666666666,world s top 5 new covid19 last 24 hours 1 27 365 2 4 603 3 4 560 4 4 281 5 3 573 6 3 388 covid 19,20030,0,positive,0.21212121212121213
1.5833333333333335,tech 2 us indians detect covid 19 virus 20 seconds hyderabad news times india innovations coronavirusoutbreak,14447,0,neutral,0.0
